,Player,Position,GP,PM,Salary,Log_Salary,Average PM,Average_PM
625,TREVOR.LEWIS,Offense,506,-90,13449916,16.41448341863946,-0.17786561264822134,-0.17786561264822134
626,TROY.BODIE,Offense,159,-16,1550000,14.253765488895429,-0.10062893081761007,-0.10062893081761007
627,TROY.BROUWER,Offense,677,141,31250001,17.257529966146684,0.20827178729689808,0.20827178729689808
628,TROY.STECHER,Defence,71,2,925000,13.737549016494562,0.028169014084507043,0.028169014084507043
629,TUOMO.RUUTU,Offense,566,74,30400000,17.22995316637645,0.13074204946996468,0.13074204946996468
630,TYLER.BOZAK,Offense,513,38,24875000,17.02937384100893,0.07407407407407407,0.07407407407407407
631,TYLER.ENNIS,Offense,419,51,31250000,17.257529934146685,0.12171837708830549,0.12171837708830549
632,TYLER.GRAOVAC,Offense,57,6,625000,13.345506928718539,0.10526315789473684,0.10526315789473684
633,TYLER.JOHNSON,Offense,308,101,20756666,16.84837800606233,0.32792207792207795,0.32792207792207795
634,TYLER.KENNEDY,Offense,526,57,8918010,16.003583385496583,0.10836501901140684,0.10836501901140684
635,TYLER.MYERS,Defence,473,-31,36524193,17.4134854209011,-0.06553911205073996,-0.06553911205073996
636,TYLER.SEGUIN,Offense,508,241,36300000,17.40732829923508,0.4744094488188976,0.4744094488188976
637,TYLER.TOFFOLI,Offense,293,123,17032223,16.65061757847115,0.4197952218430034,0.4197952218430034
638,TYSON.BARRIE,Defence,338,46,23082333,16.95457807768452,0.13609467455621302,0.13609467455621302
639,VALERI.NICHUSHKIN,Offense,166,26,1850000,14.430696197054507,0.1566265060240964,0.1566265060240964
640,VALTTERI.FILPPULA,Offense,716,84,37000000,17.4264284706085,0.11731843575418995,0.11731843575418995
641,VERNON.FIDDLER,Offense,729,-197,11350000,16.244728301891687,-0.27023319615912206,-0.27023319615912206
642,VICTOR.HEDMAN,Defence,549,26,37550000,17.44118393617442,0.04735883424408015,0.04735883424408015
643,VICTOR.RASK,Offense,242,29,12680833,16.355602198821906,0.11983471074380166,0.11983471074380166
644,VIKTOR.ARVIDSSON,Offense,142,12,9763334,16.094144498418494,0.08450704225352113,0.08450704225352113
645,VIKTOR.STALBERG,Offense,488,-13,10866263,16.201173409739585,-0.02663934426229508,-0.02663934426229508
646,VINCENT.LECAVALIER,Offense,582,109,42158948,17.55695750932439,0.1872852233676976,0.1872852233676976
647,VINCENT.TROCHECK,Offense,228,11,14911667,16.517654484649587,0.04824561403508772,0.04824561403508772
648,VLADIMIR.SOBOTKA,Offense,382,-24,10850000,16.199675637950744,-0.06282722513089005,-0.06282722513089005
649,VLADIMIR.TARASENKO,Offense,341,172,32650000,17.301355413686714,0.5043988269794721,0.5043988269794721
650,VLADISLAV.NAMESTNIKOV,Offense,201,36,5241464,15.472111406588276,0.1791044776119403,0.1791044776119403
651,WAYNE.SIMMONDS,Offense,687,185,28463332,17.164127220371785,0.2692867540029112,0.2692867540029112
652,WILLIAM.CARRIER,Offense,41,-2,690000,13.444446876573442,-0.04878048780487805,-0.04878048780487805
653,WILLIAM.KARLSSON,Offense,183,-22,2830833,14.856081572597803,-0.12021857923497267,-0.12021857923497267
654,WILLIAM.NYLANDER,Offense,103,31,1788334,14.396795018165337,0.30097087378640774,0.30097087378640774
655,WILLIE.MITCHELL,Defence,522,-99,22500000,16.929025867174648,-0.1896551724137931,-0.1896551724137931
